epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,13842.2,0.21461,0.21779,0.7896,0.99528,0.9953,0.99496,0.99264,0.13925,0.15794,0.84218,0.000111438,0.000111438,0.000111438
85,14003,0.2097,0.21373,0.78801,0.99784,0.99362,0.99499,0.9924,0.1345,0.14725,0.84215,0.00010525,0.00010525,0.00010525
86,14171.2,0.21103,0.21481,0.78869,0.99405,0.99505,0.99494,0.99281,0.13051,0.15383,0.84156,9.90625e-05,9.90625e-05,9.90625e-05
87,14334,0.20878,0.21003,0.78994,0.99581,0.99435,0.99494,0.99227,0.13147,0.15697,0.84252,9.2875e-05,9.2875e-05,9.2875e-05
88,14501.1,0.20472,0.20185,0.79164,0.99627,0.99349,0.99495,0.99255,0.13367,0.15747,0.84205,8.66875e-05,8.66875e-05,8.66875e-05
89,14662.3,0.20361,0.20205,0.79014,0.99462,0.99308,0.99494,0.99236,0.13138,0.14552,0.84243,8.05e-05,8.05e-05,8.05e-05
90,14827.6,0.21162,0.2156,0.79328,0.99485,0.99502,0.99493,0.99259,0.13286,0.15056,0.84133,7.43125e-05,7.43125e-05,7.43125e-05
91,14989.7,0.20226,0.21238,0.79145,0.99603,0.99514,0.99496,0.99276,0.12994,0.15255,0.84254,6.8125e-05,6.8125e-05,6.8125e-05
92,15154,0.20525,0.21104,0.79424,0.99632,0.99556,0.99499,0.99304,0.12611,0.14617,0.84144,6.19375e-05,6.19375e-05,6.19375e-05
93,15317.2,0.19693,0.20216,0.78858,0.99617,0.99484,0.99495,0.99302,0.12489,0.15497,0.84108,5.575e-05,5.575e-05,5.575e-05
94,15478.6,0.19606,0.20163,0.78749,0.99648,0.9952,0.99493,0.9928,0.13056,0.15314,0.84154,4.95625e-05,4.95625e-05,4.95625e-05
95,15642.6,0.1971,0.19663,0.79279,0.99596,0.99563,0.99496,0.99321,0.12577,0.14964,0.84128,4.3375e-05,4.3375e-05,4.3375e-05
96,15801.8,0.19314,0.19496,0.78928,0.99441,0.99488,0.99496,0.99319,0.12495,0.15425,0.84129,3.71875e-05,3.71875e-05,3.71875e-05
97,15965.9,0.19355,0.19737,0.78815,0.99487,0.99458,0.99496,0.99301,0.12459,0.15113,0.84079,3.1e-05,3.1e-05,3.1e-05
98,16129.2,0.19362,0.20669,0.78992,0.99531,0.99493,0.99495,0.99305,0.1212,0.14232,0.84032,2.48125e-05,2.48125e-05,2.48125e-05
99,16295.2,0.18919,0.18965,0.78657,0.99586,0.99448,0.99494,0.99333,0.12259,0.14541,0.84077,1.8625e-05,1.8625e-05,1.8625e-05
100,16459.3,0.19065,0.19643,0.78738,0.99631,0.99467,0.99494,0.99314,0.121,0.14535,0.84049,1.24375e-05,1.24375e-05,1.24375e-05
